,Published_Date,Story
10,"Published at : February 17, 2022 ","That the five-party coalition government formed after the ignominious ouster of the KP Sharma Oli administration had a short life span was no guesswork. The Oli administration had already expended 3.5 years even as it slowly lost steam midway. As Oli's political manoeuvres against democratic politics got worse each passing month, his government finally imploded after he dissolved the House first in December 2020 and again in May 2021. So, when Sher Bahadur Deuba came to power with the backing of Oli's former comrades—Pushpa Kamal Dahal of the Maoist Centre and Madhav Kumar Nepal of the CPN (Unified Socialist)—Deuba was expected to buttress the democratic process and work hard to ease the lives of Nepalis battered by the coronavirus pandemic. Seven months into power, the Deuba government is a house of cards.What is different this time is that the government is on the verge of an implosion, neither due to the callous political decisions that Deuba is known for, nor due to greed for power that most Nepali political parties and leaders are known for. The thorn in the flesh this time is the Millennium Challenge Corporation compact (MCC) that has got the coalition partners bickering. When it came to power, its stated claim was to embolden Nepal's parliamentary democracy and not to argue about an international grant project. Its common minimum programme shied away from mentioning the MCC, prompting the then recently ousted prime minister KP Sharma Oli to question the Deuba government's commitment to the compact. However, as Deuba makes its ratification the unequivocal agenda of his government, the coalition has now come to an impasse.On Wednesday, Deuba backtracked from his plan to table the MCC compact amid the Maoist Centre's strong disagreement and a threat to break the coalition. However, Prime Minister Deuba is reported to have decided to move ahead with the tabling of the compact in Parliament on Friday even as the Maoist Centre stands firm on its threat that it would withdraw from the government if an effort to ratify it is made. The Maoist Centre is emboldened in its claim by the support of the CPN (Unified Socialist), which has expressed strong opposition to the compact since the beginning. And in so doing, the party, which has changed multiple partners effortlessly in making and breaking governments in just a decade and a half of its life in democratic politics, is following a pattern that is quite familiar with those who have watched Nepal's democratic politics evolve in the past three decades. The Maoist Centre is not particularly known to stick with its coalition partners. After all, Dahal, the party chief, has on more than one occasion hinted that he does not believe in keeping permanent friends and enemies, which he terms as part of the political game. And, as the elections come near, there is the voter base to placate notwithstanding the fact that the party chief has signed a letter expressing firm commitment to get the compact ratified through a consensus. And that is the degenerative Nepali politics at its wicked best. From the outside, Nepali politics has certainly gone through a sea change in the past three decades, more specifically after the 2006 democratic movement. However, the one thing that has remained constant and given Nepali politics a distinctive flavour is the making and breaking of governments for petty reasons. It is one thing to debate vociferously on the merits and demerits of a foreign aid grant, but the possibility of a government formed to ""save democracy"" being on the verge of an implosion due to differences over the funding is uncalled for. "
11,"Published at : February 16, 2022 ","When the video of a current serving minister spewing expletives went viral a few days ago, it could be said that it reflects the degenerative direction of the nation’s politics. For it seems to be attracting people with the worst etiquette. It wasn’t a slip of the tongue or a gaffe; it was impropriety at its finest. It was clear that such expletives were unbecoming of a person holding the rank of a minister, but not quite surprising for it seems that politics in Nepal has been attracting people from those quarters devoid of any form of modesty, in word or deed. But degenerative politics isn’t just about Prem Bahadur Ale, minister of culture, tourism and civil aviation, and it’s ironic that the word “culture” is latched on to the designation he holds. It isn’t the first time he has courted controversy—there was no modesty either when he decided to paste pictures of himself on the oxygen cylinders dispatched to various hospitals during the height of the pandemic. Politics, in general, seems to have gone downhill right around the world, but more so in Nepal and the subcontinent. A person can do and say just about anything and get away with it. There isn’t much thought given to what is being said—it is us, the people, who have failed to hold them accountable for what is said and done. Hollow words are bandied about without any fear of repercussion, and since accountability is non-existent, the politicians in Nepal are well aware that their actions will go unchallenged.It is unthinkable for even the slightest inference to expletives to be tolerated in the private sector. It would also be ridiculous for a convicted criminal to pursue jobs in the private sector. A gap in the curriculum vitae is often questioned with utmost scrutiny before a candidate is invited for an interview, let alone offered a job. But in stark contrast, we have allowed persons with criminal track records and those of questionable reputation to hold high political office without anyone batting an eyelid. If it is natural to think that maintaining high standards in private recruitment isn’t out of the ordinary. What stops us from adopting those standards for those who seek to stand for public office?Adoption of democracy isn’t just about seeking votes and being elected to public office but upholding the reverence of the position one occupies. For these reasons, perhaps Plato was able to use the metaphor of a ship to highlight the concerns of electing unfit people to the highest office representing their people and the state. And with the way things are going, for the last few years, we have witnessed our politicians’ absolute disregard for the rule of law; they have blatantly exposed their inability to rule. Politics has been reduced to a mere tool for achieving their ambitions and goals. While another election year nears, undoubtedly, the majority of us will once again fall victim to their deceptive acts and promises.  "
12,"Published at : February 15, 2022 ","here isn’t much that is particularly commendable about Nepal’s vaccination drive against the Covid-19 pandemic. More than a year after the state began inoculating its citizens, only 54 percent of the population has been fully vaccinated. If the initial phase of the vaccination drive faced hiccups owing to the state’s inability to procure enough doses, leading to a months-long gap between the first and second doses, the past few months, when vaccine doses have become easier to procure, have laid bare the state’s logistical ineptitude exposed by its failure to administer them quickly. Logistics, though, is not the only problem undermining the state’s vaccination drive. Throughout the country, countless families are yet to be vaccinated as they lack basic information about the vaccine. As the Post reported on Tuesday, 70 Musahar families in Chandrapur Municipality in Rautahat district remain unvaccinated because they are either vaccine hesitant or live in a vaccine information void. Members of the Musahar community who spoke with the Post said they had no idea what the injection did, and where they could get it. Only 20 percent of the members of another Musahar community in Gajura Municipality were reported vaccinated in a district whose overall vaccination rate is 45 percent. Health officials and administrators point to a trend among marginalised communities, including Dalits and Adivasis, of members being left behind in the vaccination drive—a clear case of vaccine inequity in a country that is rife with divisions along the lines of caste, class, community and gender, among others. There is no overstating the fact that optimum immunity against the coronavirus is impossible to reach unless each of us is vaccinated. Vaccination, therefore, is a collective responsibility—that of the state and the citizens. But what of those who have little knowledge about the whats and whys of the vaccine? It is the state’s responsibility to ensure that those who hesitate to get jabbed or do not know about the vaccination drive altogether are addressed through a robust information campaign. The state may think it has fulfilled its responsibility by using caller ringback tones or media campaigns to invite people to get vaccinated, but that is not enough. In a country that still reels under considerable illiteracy, the state cannot just remain content with lofty ideas of media campaigning alone. There is no doubt that the media plays an effective role in disseminating information widely and quickly; however, more often than not, citizens have little time or cognitive interest to decipher the messages the media campaigns are trying to convey. Moreover, there are those who need consistent in-person explanation and counselling for them to understand what it means to get fully vaccinated against a virus. It is this information gap that the state needs to fulfil by adopting a unique, needs-based information dissemination approach. This necessitates a decentralised information dissemination apparatus that addresses each individual even in far-flung areas. One way to do this is to deploy health volunteers and local level representatives to conduct a house-to-house campaign so that citizens make the effort to visit vaccination centres for their own safety and that of others around them. It is those who have the least agency who need state support the most, the state cannot rest unless the last unvaccinated citizen gets the jab.  "
13,"Published at : February 15, 2022 ","Construction work is often striking a balance between development work and environmental protection. Hence, such work needs to proceed with extra caution since it requires a considerable investment of time and money. And any obstruction to the project after initiation only adds to a myriad of problems typical of a construction project. Gaurishankar Conservation Area in the country's eastern Himalayan region has issued a directive asking the Rolwaling Khola Hydroelectric Project and the Lapche Khola Hydropower Project to stop any construction immediately.The hydropower projects have been accused of flouting norms and environmental standards. It is pretty characteristic of power projects to muscle their way into achieving what they want by breaching agreed norms like Lapche Khola Hydropower, which has been accused of felling trees and constructing a road without obtaining a permit. Sure, the issue at hand concerns the provision of power much needed for the nation's development, but why cannot the project officials work in tandem with the conservation area? The blame for constructing the road has been shifted to rural municipalities, but the damage has already been done.The hills and mountainous regions in Nepal are prone to landslides, especially during the monsoon season; and projects such as these often need to level the area by moving a lot of earth, and this process leads to widespread destruction of the surrounding vegetation and wildlife. One may have thought that the environmental impact assessment (EIA) would incorporate all the thorny issues revolving around the project. But it seems that Lapche Khola Hydropower has not bothered to submit documents related to the EIA. Such irresponsible acts do nothing more than become a hindrance to the smooth functioning of projects. Constant delays only cause cost overruns at the existing projects. Hence, abiding by the agreed standards often works in favour of the concerned projects. But there will be consequences for prioritising profits over the environment. When environmental issues have hogged the limelight and have taken centre stage on global platforms, companies and projects should avoid the blemish of being reckless with the environment. The effects of non-adherence are made clear by nature itself, wreaking havoc during the monsoon rather than a slap on the wrist often accorded by the authorities for breaching the agreed standards.Nepal does not have sound credentials concerning adherence to environmental standards. Whether it is about excavating river beds for their sand or pebbles or the complete decimation of hills to extract minerals, there have always been reports of non-adherence partly because those involved in the trade know very well that the authorities can be manoeuvred as per their will. And as long as this continues, issues will be raised and quietly forgotten.  "
14,"Published at : February 13, 2022 ","When the Omicron variant of Covid-19 was first detected in South Africa, governments worldwide resorted to a series of measures in their endeavours to contain the virus. And such efforts have been familiar with every successive wave, focusing on one particular issue; protecting the health system from being completely overwhelmed. Apart from the decimation of economies, the lasting impact has been on health. Given the gravity of the crisis, the management of Covid has been of the utmost priority for the authorities. Still, this prioritisation has come at the cost of ignoring non-communicable and other infectious diseases.Whether voluntarily or induced through the series of lockdowns, deferments of medical appointments have taken a toll on people’s health. And with the resources– both financial and human—stretched to breaking point, there is little doubt that regular health programmes have been adversely affected. People engaged in vaccinating children against hepatitis B, tuberculosis or other serious ailments were re-deployed to make up for the gaps in immunising people against Covid. This drive has virtually stalled over the last two years. The implications of this crisis may not be apparent now, but sadly, the impact of these debilitating effects will be more apparent soon unless the government acts on it with immediate effect.During the first year of the ongoing pandemic, in 2020, the government decided to slash the budget for the treatment of non-communicable diseases by more than two-thirds compared to the amount allocated in 2019. Only Rs40 million was set aside compared to Rs135 million previously despite several studies showing that the risk posed by non-communicable diseases is far higher than from communicable diseases. The impact of the budget cut was undoubtedly felt most by those at the bottom of the economic pyramid. Instead of increasing the healthcare budget, the administration, in its infinite wisdom, decided that re-deploying financial resources within health care would help avoid an imminent catastrophe.According to the World Health Organisation, in 2019 before the Covid-19 pandemic, non-communicable diseases such as heart disease, stroke, chronic lung disease and cancer accounted for almost 74 percent of deaths globally. Of the top 10 causes of death, seven of the leading causes of death in 2019 were non-communicable diseases. This situation has been further exacerbated, particularly in Nepal, which lacks the provisions of universal health care as most people have to rely on the services provided by private hospitals and care centres. And people often deferring medical appointments for fear of contracting the dreaded virus has intensified a silent but lethal crisis.Numerous other programmes have been affected, particularly concerning maternal health, child health and nutrition, and the less talked about mental health issues. Data shows that since the pandemic, there has been a steady rise in the number of suicide cases as well—the act considered a taboo isn’t widely discussed. Still, suicide is a significant indicator of mental health problems prevalent in Nepal. Perhaps the government’s priorities are misdirected, and if they remain complacent about the burgeoning crisis concerning other communicable and non-communicable diseases, it could be that we’re sitting on a ticking time bomb.  "
15,"Published at : February 10, 2022 ","The tragedy of human life is that we often realise the implications of our action only after the wrong has been done. That is evident most poignantly if we see how our unbridled greed for infrastructure development has led to the destruction of the world around us. The latest instance of our foolhardiness is the felling of a kapok tree in Shuklagandaki Municipality-2 as part of the expansion project of the Muglin-Pokhara section of Prithvi Highway. If the cutting of 8,000 trees along the highway was not enough, the Department of Roads failed to halt the felling of the kapok tree atop which a slender-billed vulture had built a nest and laid eggs. Desperate requests by conservationists to not chop down the tree until the eggs were hatched fell on deaf ears, although it wouldn’t be too difficult to know that the bird is an endangered bird species. It is almost always the case that a new infrastructure development project leads to a conflict between the natural environment and the built environment. Such has been the story of our flawed development paradigm that a narrow track is opened at first following old foot trails, and a few years later, the narrow track needs an expansion due to traffic congestion. And, inevitably, the old chautaris, bisaunis, patis and pauwas become a nuisance in the flawed path to development. What follows is a destruction of heritages that have remained in place for centuries as part of our society and culture. The juggernaut of unbridled development spares nothing on its way, and that is a sad reality of our times. Why is it that we, in our endless endeavour for development, design our projects in such flawed ways that we end up displacing or putting at risk the humans or other forms of life that have lived there for generations?For a country that is obsessed with development, heritages, lived memories and the lives of living organisms seem to mean absolutely nothing. For an engineer or a contractor, or a people’s representative keen to finish a road project, the nest of a vulture may mean nothing. Or a vulture’s eggs may have little value than the poultry eggs that one can purchase in the market. The very existence of an endangered bird’s nest atop a tree next to a highway may come as a nuisance to an agent of development who has little training in empathy. And that shows how, despite monumental gains in knowledge about environment, ecology and society, we remain predatory humans that seek to thrive by disregarding the lives of others. It is high time we became more thoughtful about how to coexist with ecology and environment even as we develop infrastructures for our convenience. This mad rush for development ultimately leads to the making of a world full of concrete structures that push to obliterate our stories, memories and histories. Could we not exist alongside one another without turning predators? Yes we can. But what we need is a radical rethinking of the very idea of infrastructure development, where non-interference with the natural world is non-negotiable. "
16,"Published at : February 9, 2022 ","If there is one thing that has remained a casualty in the petty politics of political parties, it is the House of Representatives. On Tuesday, a Business Advisory Committee meeting to finalise the list of tentative agenda items was adjourned at the eleventh hour, pushing the next meeting of the House to February 14. This, just over a week after Speaker Agni Sapkota on January 30 postponed the House meeting by 10 days citing the threat of the coronavirus pandemic although, as the Post reported quoting Parliament Secretariat officials, it was the differences among the parties on tabling the Millennium Challenge Corporation Compact Nepal (MCC) that had prompted him to put off the meeting.On this particular front, the speaker has faced backlash from several quarters as his seemingly active role in deciding whether the motion on MCC gets tabled in Parliament is called unusual and unbecoming of a non-partisan position holder. It is all too clear by now that he is keen to keep the matter of MCC in limbo unless he gets the green signal from the Maoist Centre, the party he belonged to before he became the speaker. As he continues to impede the functioning of Parliament, questions arise as to whether Sapkota is really committed to the democratic process that he moderates as the speaker. However, Speaker Sapkota is hardly the only person impeding the function of Parliament. The CPN-UML has been the vanguard in obstructing Parliament for over five months now, primarily due to its differences with Sapkota. What is unexplainable in this months-long fiasco is that unlike in a normal parliamentary setup where the opposition party obstructs Parliament to oppose the government, the UML is obstructing it to settle scores with the speaker. The bone of contention in this case is the speaker’s failure to issue a notice related to the UML’s expulsion of its 14 lawmakers from the then Madhav Kumar Nepal camp who eventually went on to form the CPN (Unified Socialist).So blinded is the UML in its enmity with Sapkota that it has expressed its willingness to get the MCC Compact ratified in Parliament if he could somehow be ousted from his position. That is petty politics at its best. In any case, the UML is not particularly known for its commitment to letting Parliament do its business in a democratic manner. In 2001, the party, under Madhav Kumar Nepal, obstructed Parliament for 57 days seeking resignation of the then prime minister Girija Prasad Koirala over the Lauda Air scam. Even as Madhav has exited the party and has joined a coalition that forms the current government, the UML continues with its legacy of obstructing Parliament for months. Only this time, the UML is close to doubling its previous record as it shows no sign of relenting.The government, meanwhile, remains incapable of breaking the stalemate as it is torn between saving the coalition and saving face in front of the donor community. This limbo does not represent the democratic politics the people envisioned for Nepal. Parliament cannot continue to remain the centre of disorder created by petty politics even as heated debates form the bedrock of parliamentary democracy.  "
17,"Published at : February 8, 2022 ","The exchange of secret correspondence between the incumbent prime minister and the chairman of the Maoist Centre with the chairman of the Millennium Challenge Corporation shows absolute ineptness on the part of our politicians in governing forthrightly. These covert actions do not seem in any way to represent the interest of the nation and are a blot on democratic governance. The leaking of the correspondence not just exposes the politicians’ duplicity but also their fondness for carrying out such secretive dealings. On the one hand, they are always colluding among themselves to achieve their vested political interests, and on the other, their intention is to hoodwink the public to achieve those aims. The manner in which politicians have been operating shows complete non-compliance with acceptable norms and governance standards. For instance, KP Sharma Oli, the then prime minister, promptly rolled out the red carpet for the Indian intelligence chief Samant Goel who came to Nepal to pay a “courtesy call”. And this meeting was so secretive that even after all these months, nothing has been ascertained concerning the details of the meeting. If a one-on-one meeting between the head of a foreign intelligence agency and the prime minister of another sovereign nation doesn’t ring alarm bells, then what does? Isn’t it the prerogative of the administration to come clean with the facts concerning the meeting?What has happened is not an anomaly though; in the past too, politicians have resorted to such tête-à-tête, but the failure of Nepali politicians to maintain the minimum decorum while dealing with friendly nations not only tarnishes Nepal’s credentials but also erodes the faith of the people who voted them to power. Nefarious actions cannot be justified as acceptable governance practice; politicians need to rise above their selfish interests to meet the expectations of the people they serve in a manner that does not belittle the country’s image.Internal politics desperately needs to be redefined as well; the actions of the current coalition government could be termed nothing less than degenerative dirty politics. Immediately after taking over as prime minister, Deuba concentrated all his efforts on repealing the Political Parties Act 2017, which was a stumbling block preventing him and his political partners from grabbing power. These were measures taken by a small group of politicians to fulfil their vested interests. It wasn’t about effectively handling the ongoing pandemic or providing some relief to those who have perished during the onslaught of the pandemic. It was squarely about politics for the sake of politics and to strengthen their cause in remaining relevant.Their activities do not seem to point to the functioning of the democratic process. Democracy isn’t just about the electoral process which, in fact, they have been trying to subvert lately. It is about protecting the human rights of all citizens; it is about governing in a transparent environment. More importantly, it is about adhering to the rule of law. In this regard, politicians have failed miserably. But what is more astonishing is that they seem emboldened and unafraid of the repercussions of acting in a way that is always trying to undermine the rule of law. Politicians seem to forget that citizens are not their subjects and the country is not their fiefdom.  "
18,"Published at : February 7, 2022 ","The Central Bureau of Statistics has published various facts and figures in its census report. The figures indicate a particular cause for concern. One, there is a lopsided concentration of people in the Tarai region. Two, just over 66 percent of the population resides in urban areas. With 68 percent of the world’s population projected to live in urban areas by 2050, the figure reflected may tempt people to believe it is in line with global trends. But urbanisation is pretty shambolic in Nepal, and there are numerous problems that the administration needs to be mindful of.Towns and cities have seen unprecedented expansion in the last two decades, but it has been largely unplanned and pretty haphazard. There is no thought to preserve any natural aesthetics when building houses, and more often than not, the access ways to residential properties are ill planned. And with more and more people moving into urban areas, it has led to an acute shortage of accommodation, and consequentially sky-high rent rates have forced newcomers to live in squalid conditions. There’s nothing rosy for the early settlers either. People living in cities lack basic amenities. Access to clean, affordable drinking water is still a significant problem in the cities, especially for residents in Kathmandu. People’s expectations were dashed when the much-awaited Melamchi Water Supply Project had to stop supplying water to the valley to carry out repair works after barely being operational for a few months. Waste management is another issue where no lasting solution has been reached; often, during the monsoon season, residents of Kathmandu have to endure piles of rubbish strewn all over the city. And to make matters worse, there is the issue of raw sewage being brazenly dumped in rivers making it unbearable to even walk along the banks, let alone reside there. The inadequacies of solid waste management, if not resolved, could lead to environmental degradation and aggravate public health problems. These are just a few examples of the disorganised state of operations. The history of urban planning is a new concept to the Nepali psyche. The concept of urban planning was only introduced in the third national five-year plan 1967-71, and it is pretty evident that nothing much has been done to cater to the needs of the masses of people flocking to urban areas.Every bit of free space is being used up to erect concrete structures to accommodate the ever-increasing flow of people, often encroaching on areas deemed uninhabitable by the old locals. The disastrous effects were visible for all during the earthquake in 2015 when buildings built on loose grounds gave way and led to their collapse, causing widespread damage and destruction and loss of life. But the way urbanisation has continued, it seems the hazards of high-rises have been all but forgotten. There is an urgent need to redress the ongoing problem of continued urbanisation, and if we are to carry on at this pace, stretching every bit of resource at our disposal, we could be looking at a ticking time bomb.  "
19,"Published at : February 6, 2022 ","Almost two years since the pandemic started, the disruptions it caused in various sectors continue unabated. The start-stop regime has brought immeasurable annoyance to the masses and, more so, to students who have had to endure the pangs of receiving classes through virtual mediums. This has had a considerable impact on their performance. Still, the problem of imparting courses online isn't unique to countries that suffer from infrastructural deficiencies as opposed to those countries that seemed ready for remote working and learning. But no preparation proved enough for the psychological impact the lockdown had on people.The schools in Nepal have been intermittently shut for the most part in the last two years. The authorities have exercised due precaution to contain the virus by closing down schools. But their decision to close the schools came hastily without any measures to ensure seamless education for the multitudes studying in government schools. It wasn't just the students in remote areas of Nepal but also those in urban areas lacking the financial strength to afford laptops, tablets or even a rudimentary smartphone to continue studying. The lucky few studying in private institutions who could afford such devices did manage to continue, albeit with a few glitches along the way.There has been a glaring discrepancy in formulating and implementing policies concerning Covid-19 management right from the start. In Nepal, we always seem to be aping the policies of other nations, particularly the West. Suppose they implement the need to carry vaccine passports. In that case, the administration imposes the requirement for vaccine cards—perhaps with the intention of inducing people to get their jabs—still, even a well-intentioned measure mentioned above piled more trouble on the average person. There was no need to rush people to crowd the vaccination centres at short notice. And actions such as limiting passengers on public transport and maintaining social distancing are rarely enforced.No sooner had in-person classes resumed than they returned to the virtual medium, and parents have become increasingly worried about the impact on their children's overall knowledge. It shows how vital classroom interaction and mingling with peers is to achieve overall development. So, the critical question remains unanswered: Are students learning through virtual mediums? Or is it merely a tool to fill in idle time lest they happen to lose their way and resort to aimless loitering?The decisions to open and close schools have become a complex issue for all countries due to the ever-changing nature of the virus. And particularly for schools in urban areas of Nepal with a high concentration of students and without proper ventilation. But measures need to be taken to bridge the glaring disparity for those who do not have access to virtual learning platforms while keeping them safe from the dangers of the virus. It is a tough task for the authorities to provide a risk-free and secure environment.  "
